dist_id,district,flood11,flood12,flood13,flood14,flood15,flood16,Popl,wat_cov,san_cov,hw_cov,score,cas11,cas12,cas13,cas14,cas15,cas16,lat,lon,region,total_flood_years,total_cases,cases_per_100k,flood_years_pct,neighbor_mean_rate,lisa_class,local_morans_i
1,Abim,1,1,0,0,0,0,107966,99,61.0,38.0,58,0,0,0,0,0,0,2.7,33.65,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
2,Adjumani,0,0,0,0,0,0,225251,100,78.8,60.2,60,0,0,0,2,0,101,3.3,31.8,Northern,0,103,45.726767028781225,0.0,23.916460439184878,High-High (Hotspot Cluster),-0.012278621851304034
3,Agago,0,1,1,0,0,0,227792,82,66.5,20.6,65,0,0,0,0,0,0,2.85,33.33,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
4,Alebtong,0,0,1,1,0,0,227541,89,80.5,25.0,50,0,0,0,0,0,0,2.25,33.32,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
5,Amolatar,1,0,0,0,1,0,147166,100,85.0,36.0,55,0,0,0,0,0,0,1.63,32.83,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
6,Amudat,0,0,1,0,1,0,105767,63,17.1,11.9,43,0,0,0,0,0,0,1.8,34.9,Eastern,2,0,0.0,33.33333333333333,7.644267491245341,Low-Low (Coldspot Cluster),0.1251970949586757
7,Amuria,1,1,1,0,0,0,270928,97,84.5,55.0,60,0,0,0,0,0,0,2.02,33.65,Eastern,3,0,0.0,50.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
8,Amuru,0,1,1,0,0,0,186696,48,72.8,46.0,43,0,0,0,0,0,64,2.85,31.95,Northern,2,64,34.280327377126454,33.33333333333333,23.40059513802056,High-High (Hotspot Cluster),0.0005968699210766172
9,Apac,0,0,0,0,0,0,368626,98,80.3,30.1,70,0,0,0,0,0,0,1.98,32.53,Northern,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
10,Arua,1,0,0,0,0,0,782077,98,73.0,35.0,55,0,41,140,37,31,6,3.03,30.91,Northern,1,255,32.605485137652686,16.666666666666664,135.3548180876668,High-High (Hotspot Cluster),-0.03443473217362395
11,Budaka,1,0,1,0,0,0,207597,77,66.0,33.0,35,0,0,0,0,0,41,1.05,34.1,Eastern,2,41,19.74980370621926,33.33333333333333,82.80570913636394,High-High (Hotspot Cluster),-0.11794283839547298
12,Bududa,0,1,1,1,0,0,210173,89,72.0,21.0,35,0,216,0,0,0,0,1.0,34.33,Eastern,3,216,102.77247791105422,50.0,75.73147211439391,High-High (Hotspot Cluster),0.4603750512474914
13,Bugiri,0,0,0,0,0,1,382913,87,80.5,23.3,53,0,0,0,0,0,0,0.58,33.75,Eastern,1,0,0.0,16.666666666666664,64.74934131837503,Low-High (Outlier),-0.17729699346500877
14,Buhweju,1,0,0,0,0,0,120720,42,87.0,18.0,50,0,0,0,0,0,0,-0.35,30.35,Western,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
15,Buikwe,0,0,0,1,0,0,422771,86,75.0,40.2,33,0,0,0,0,0,0,0.35,33.0,Central,1,0,0.0,16.666666666666664,14.726487225834799,Low-High (Outlier),0.08768152131427073
16,Bukedea,0,1,0,0,0,0,203600,96,84.0,55.0,90,0,0,0,0,0,0,1.35,34.1,Eastern,1,0,0.0,16.666666666666664,40.80876607900867,Low-High (Outlier),-0.05048019772294183
17,Bukomansimbi,0,0,0,0,0,0,151413,71,68.8,35.0,50,0,0,0,0,0,0,-0.35,31.65,Central,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
18,Bukwa,0,0,0,0,0,0,89356,21,61.4,13.5,28,0,0,0,0,0,0,1.35,34.75,Eastern,0,0,0.0,0.0,53.0526939014807,Low-High (Outlier),-0.11533810853829375
19,Bulambuli,1,0,1,1,0,0,174508,93,70.6,29.4,48,0,0,0,0,0,284,1.1,34.45,Eastern,3,284,162.7432553235382,50.0,65.11125831112747,High-High (Hotspot Cluster),0.6594231614556733
20,Buliisa,1,0,1,0,0,0,113161,93,68.0,40.0,68,0,1021,108,0,0,0,2.1,31.4,Western,2,1129,997.6935516653265,33.33333333333333,182.08703780394887,High-High (Hotspot Cluster),22.118401498112746
21,Bundibugyo,1,0,0,0,0,0,224387,88,72.0,26.0,30,0,458,0,0,0,0,0.7,30.06,Western,1,458,204.11164639662724,16.666666666666664,79.08350256092157,High-High (Hotspot Cluster),1.2329720995515796
