dist_id,district,lat,lon,region,year,flooded,cases,population,wat_cov,san_cov,hw_cov,score,case_rate_per_100k
1,Abim,2.7,33.65,Northern,2011,1,0,107966,99,61.0,38.0,58,0.0
1,Abim,2.7,33.65,Northern,2012,1,0,107966,99,61.0,38.0,58,0.0
1,Abim,2.7,33.65,Northern,2013,0,0,107966,99,61.0,38.0,58,0.0
1,Abim,2.7,33.65,Northern,2014,0,0,107966,99,61.0,38.0,58,0.0
1,Abim,2.7,33.65,Northern,2015,0,0,107966,99,61.0,38.0,58,0.0
1,Abim,2.7,33.65,Northern,2016,0,0,107966,99,61.0,38.0,58,0.0
2,Adjumani,3.3,31.8,Northern,2011,0,0,225251,100,78.8,60.2,60,0.0
2,Adjumani,3.3,31.8,Northern,2012,0,0,225251,100,78.8,60.2,60,0.0
2,Adjumani,3.3,31.8,Northern,2013,0,0,225251,100,78.8,60.2,60,0.0
2,Adjumani,3.3,31.8,Northern,2014,0,2,225251,100,78.8,60.2,60,0.8878983889083732
2,Adjumani,3.3,31.8,Northern,2015,0,0,225251,100,78.8,60.2,60,0.0
2,Adjumani,3.3,31.8,Northern,2016,0,101,225251,100,78.8,60.2,60,44.83886863987285
3,Agago,2.85,33.33,Northern,2011,0,0,227792,82,66.5,20.6,65,0.0
3,Agago,2.85,33.33,Northern,2012,1,0,227792,82,66.5,20.6,65,0.0
3,Agago,2.85,33.33,Northern,2013,1,0,227792,82,66.5,20.6,65,0.0
3,Agago,2.85,33.33,Northern,2014,0,0,227792,82,66.5,20.6,65,0.0
3,Agago,2.85,33.33,Northern,2015,0,0,227792,82,66.5,20.6,65,0.0
3,Agago,2.85,33.33,Northern,2016,0,0,227792,82,66.5,20.6,65,0.0
4,Alebtong,2.25,33.32,Northern,2011,0,0,227541,89,80.5,25.0,50,0.0
4,Alebtong,2.25,33.32,Northern,2012,0,0,227541,89,80.5,25.0,50,0.0
4,Alebtong,2.25,33.32,Northern,2013,1,0,227541,89,80.5,25.0,50,0.0
4,Alebtong,2.25,33.32,Northern,2014,1,0,227541,89,80.5,25.0,50,0.0
4,Alebtong,2.25,33.32,Northern,2015,0,0,227541,89,80.5,25.0,50,0.0
4,Alebtong,2.25,33.32,Northern,2016,0,0,227541,89,80.5,25.0,50,0.0
5,Amolatar,1.63,32.83,Northern,2011,1,0,147166,100,85.0,36.0,55,0.0
5,Amolatar,1.63,32.83,Northern,2012,0,0,147166,100,85.0,36.0,55,0.0
5,Amolatar,1.63,32.83,Northern,2013,0,0,147166,100,85.0,36.0,55,0.0
5,Amolatar,1.63,32.83,Northern,2014,0,0,147166,100,85.0,36.0,55,0.0
5,Amolatar,1.63,32.83,Northern,2015,1,0,147166,100,85.0,36.0,55,0.0
5,Amolatar,1.63,32.83,Northern,2016,0,0,147166,100,85.0,36.0,55,0.0
6,Amudat,1.8,34.9,Eastern,2011,0,0,105767,63,17.1,11.9,43,0.0
6,Amudat,1.8,34.9,Eastern,2012,0,0,105767,63,17.1,11.9,43,0.0
6,Amudat,1.8,34.9,Eastern,2013,1,0,105767,63,17.1,11.9,43,0.0
6,Amudat,1.8,34.9,Eastern,2014,0,0,105767,63,17.1,11.9,43,0.0
6,Amudat,1.8,34.9,Eastern,2015,1,0,105767,63,17.1,11.9,43,0.0
6,Amudat,1.8,34.9,Eastern,2016,0,0,105767,63,17.1,11.9,43,0.0
7,Amuria,2.02,33.65,Eastern,2011,1,0,270928,97,84.5,55.0,60,0.0
7,Amuria,2.02,33.65,Eastern,2012,1,0,270928,97,84.5,55.0,60,0.0
7,Amuria,2.02,33.65,Eastern,2013,1,0,270928,97,84.5,55.0,60,0.0
7,Amuria,2.02,33.65,Eastern,2014,0,0,270928,97,84.5,55.0,60,0.0
7,Amuria,2.02,33.65,Eastern,2015,0,0,270928,97,84.5,55.0,60,0.0
7,Amuria,2.02,33.65,Eastern,2016,0,0,270928,97,84.5,55.0,60,0.0
8,Amuru,2.85,31.95,Northern,2011,0,0,186696,48,72.8,46.0,43,0.0
8,Amuru,2.85,31.95,Northern,2012,1,0,186696,48,72.8,46.0,43,0.0
8,Amuru,2.85,31.95,Northern,2013,1,0,186696,48,72.8,46.0,43,0.0
8,Amuru,2.85,31.95,Northern,2014,0,0,186696,48,72.8,46.0,43,0.0
8,Amuru,2.85,31.95,Northern,2015,0,0,186696,48,72.8,46.0,43,0.0
8,Amuru,2.85,31.95,Northern,2016,0,64,186696,48,72.8,46.0,43,34.280327377126454
9,Apac,1.98,32.53,Northern,2011,0,0,368626,98,80.3,30.1,70,0.0
9,Apac,1.98,32.53,Northern,2012,0,0,368626,98,80.3,30.1,70,0.0
9,Apac,1.98,32.53,Northern,2013,0,0,368626,98,80.3,30.1,70,0.0
9,Apac,1.98,32.53,Northern,2014,0,0,368626,98,80.3,30.1,70,0.0
9,Apac,1.98,32.53,Northern,2015,0,0,368626,98,80.3,30.1,70,0.0
9,Apac,1.98,32.53,Northern,2016,0,0,368626,98,80.3,30.1,70,0.0
10,Arua,3.03,30.91,Northern,2011,1,0,782077,98,73.0,35.0,55,0.0
10,Arua,3.03,30.91,Northern,2012,0,41,782077,98,73.0,35.0,55,5.242450551544157
10,Arua,3.03,30.91,Northern,2013,0,140,782077,98,73.0,35.0,55,17.90105066380932
10,Arua,3.03,30.91,Northern,2014,0,37,782077,98,73.0,35.0,55,4.730991961149606
10,Arua,3.03,30.91,Northern,2015,0,31,782077,98,73.0,35.0,55,3.9638040755577775
10,Arua,3.03,30.91,Northern,2016,0,6,782077,98,73.0,35.0,55,0.7671878855918279
11,Budaka,1.05,34.1,Eastern,2011,1,0,207597,77,66.0,33.0,35,0.0
11,Budaka,1.05,34.1,Eastern,2012,0,0,207597,77,66.0,33.0,35,0.0
11,Budaka,1.05,34.1,Eastern,2013,1,0,207597,77,66.0,33.0,35,0.0
11,Budaka,1.05,34.1,Eastern,2014,0,0,207597,77,66.0,33.0,35,0.0
11,Budaka,1.05,34.1,Eastern,2015,0,0,207597,77,66.0,33.0,35,0.0
11,Budaka,1.05,34.1,Eastern,2016,0,41,207597,77,66.0,33.0,35,19.74980370621926
12,Bududa,1.0,34.33,Eastern,2011,0,0,210173,89,72.0,21.0,35,0.0
12,Bududa,1.0,34.33,Eastern,2012,1,216,210173,89,72.0,21.0,35,102.77247791105422
12,Bududa,1.0,34.33,Eastern,2013,1,0,210173,89,72.0,21.0,35,0.0
12,Bududa,1.0,34.33,Eastern,2014,1,0,210173,89,72.0,21.0,35,0.0
12,Bududa,1.0,34.33,Eastern,2015,0,0,210173,89,72.0,21.0,35,0.0
12,Bududa,1.0,34.33,Eastern,2016,0,0,210173,89,72.0,21.0,35,0.0
13,Bugiri,0.58,33.75,Eastern,2011,0,0,382913,87,80.5,23.3,53,0.0
13,Bugiri,0.58,33.75,Eastern,2012,0,0,382913,87,80.5,23.3,53,0.0
13,Bugiri,0.58,33.75,Eastern,2013,0,0,382913,87,80.5,23.3,53,0.0
13,Bugiri,0.58,33.75,Eastern,2014,0,0,382913,87,80.5,23.3,53,0.0
13,Bugiri,0.58,33.75,Eastern,2015,0,0,382913,87,80.5,23.3,53,0.0
13,Bugiri,0.58,33.75,Eastern,2016,1,0,382913,87,80.5,23.3,53,0.0
14,Buhweju,-0.35,30.35,Western,2011,1,0,120720,42,87.0,18.0,50,0.0
14,Buhweju,-0.35,30.35,Western,2012,0,0,120720,42,87.0,18.0,50,0.0
14,Buhweju,-0.35,30.35,Western,2013,0,0,120720,42,87.0,18.0,50,0.0
14,Buhweju,-0.35,30.35,Western,2014,0,0,120720,42,87.0,18.0,50,0.0
14,Buhweju,-0.35,30.35,Western,2015,0,0,120720,42,87.0,18.0,50,0.0
14,Buhweju,-0.35,30.35,Western,2016,0,0,120720,42,87.0,18.0,50,0.0
15,Buikwe,0.35,33.0,Central,2011,0,0,422771,86,75.0,40.2,33,0.0
15,Buikwe,0.35,33.0,Central,2012,0,0,422771,86,75.0,40.2,33,0.0
15,Buikwe,0.35,33.0,Central,2013,0,0,422771,86,75.0,40.2,33,0.0
15,Buikwe,0.35,33.0,Central,2014,1,0,422771,86,75.0,40.2,33,0.0
15,Buikwe,0.35,33.0,Central,2015,0,0,422771,86,75.0,40.2,33,0.0
15,Buikwe,0.35,33.0,Central,2016,0,0,422771,86,75.0,40.2,33,0.0
16,Bukedea,1.35,34.1,Eastern,2011,0,0,203600,96,84.0,55.0,90,0.0
16,Bukedea,1.35,34.1,Eastern,2012,1,0,203600,96,84.0,55.0,90,0.0
16,Bukedea,1.35,34.1,Eastern,2013,0,0,203600,96,84.0,55.0,90,0.0
16,Bukedea,1.35,34.1,Eastern,2014,0,0,203600,96,84.0,55.0,90,0.0
16,Bukedea,1.35,34.1,Eastern,2015,0,0,203600,96,84.0,55.0,90,0.0
16,Bukedea,1.35,34.1,Eastern,2016,0,0,203600,96,84.0,55.0,90,0.0
17,Bukomansimbi,-0.35,31.65,Central,2011,0,0,151413,71,68.8,35.0,50,0.0
17,Bukomansimbi,-0.35,31.65,Central,2012,0,0,151413,71,68.8,35.0,50,0.0
17,Bukomansimbi,-0.35,31.65,Central,2013,0,0,151413,71,68.8,35.0,50,0.0
17,Bukomansimbi,-0.35,31.65,Central,2014,0,0,151413,71,68.8,35.0,50,0.0
17,Bukomansimbi,-0.35,31.65,Central,2015,0,0,151413,71,68.8,35.0,50,0.0
17,Bukomansimbi,-0.35,31.65,Central,2016,0,0,151413,71,68.8,35.0,50,0.0
18,Bukwa,1.35,34.75,Eastern,2011,0,0,89356,21,61.4,13.5,28,0.0
18,Bukwa,1.35,34.75,Eastern,2012,0,0,89356,21,61.4,13.5,28,0.0
18,Bukwa,1.35,34.75,Eastern,2013,0,0,89356,21,61.4,13.5,28,0.0
18,Bukwa,1.35,34.75,Eastern,2014,0,0,89356,21,61.4,13.5,28,0.0
18,Bukwa,1.35,34.75,Eastern,2015,0,0,89356,21,61.4,13.5,28,0.0
18,Bukwa,1.35,34.75,Eastern,2016,0,0,89356,21,61.4,13.5,28,0.0
19,Bulambuli,1.1,34.45,Eastern,2011,1,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2012,0,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2013,1,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2014,1,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2015,0,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2016,0,284,174508,93,70.6,29.4,48,162.7432553235382
20,Buliisa,2.1,31.4,Western,2011,1,0,113161,93,68.0,40.0,68,0.0
20,Buliisa,2.1,31.4,Western,2012,0,1021,113161,93,68.0,40.0,68,902.2543102305564
